Confirmed,Deaths,Recovered
555,17,28
654,18,30
941,26,36
1434,42,39
2118,56,52
2927,82,61
5578,131,107
6166,133,125
8234,171,141
9927,213,219
12038,259,281
16787,362,459
19887,426,604
23898,492,821
27643,564,1071
30802,634,1418
34334,719,1903
37068,806,2470
40095,906,3057
42633,1013,3714
44675,1113,4417
46561,1118,4849
60206,1371,5930
66690,1523,7613
68765,1666,8902
70879,1770,10319
72815,1868,11951
74609,2008,13693
75030,2123,15394
75577,2246,17369
76206,2250,17966
77967,2457,21849
78290,2467,22304
78854,2627,24047
79707,2707,26652
80670,2767,29077
82034,2810,31919
83411,2867,35306
85306,2936,38314
87690,2990,41208
89664,3079,44085
92241,3154,46681
94540,3249,49619
97331,3342,52237
101274,3454,54270
105312,3553,56760
109266,3797,59092
113166,3981,60891
118190,4260,62802
125853,4604,65113
131603,4909,66434
146008,5406,68359
157114,5823,70729
168260,6464,74139
182919,7144,76192
198757,7948,78944
218343,8845,81427
246261,9951,83064
275869,11429,85509
308175,13134,89775
341585,14831,95990
383750,16748,96456
424889,19016,105997
475706,21793,111445
538666,24800,119804
603066,28318,128508
670723,31997,136800
730300,35470,146261
794939,39634,161707
871355,44478,174074
947569,50029,189434
1028968,56334,206052
1112123,62319,221060
1192586,68160,241072
1264304,73181,254477
1336976,79013,270812
1413849,86915,293665
1497624,93650,322017
1584249,101279,346349
1671907,108551,367477
1748872,114620,392991
1845653,120351,411864
1915247,126098,438395
1985174,132996,463014
2066003,141308,498925
2162715,148591,529015
2250439,157481,554287
2324396,163952,577789
2404919,168522,608557
2478258,173965,629862
2553508,181122,664043
2630314,187877,693207
2719327,194727,721689
2806267,201401,771329
2891199,206979,798239
2964146,210862,825969
3032850,215511,852382
3108149,221974,884680
3185195,228742,925752
3268876,234704,989616
3355922,239881,1026501
3437608,245206,1066362
3515244,248659,1097577
3591321,252787,1130526
3671310,258658,1166155
3761332,265327,1210894
3850418,270736,1249311
3941935,276304,1284849
4027781,280569,1337367
4104027,284135,1370108
4180268,287608,1416204
4263867,293155,1452191
4348619,298383,1506905
4445724,303651,1545712
4542073,308866,1592880
4637485,313037,1648546
4715994,316366,1688699
4804278,319657,1740909
4900702,324441,1792256
5003730,329326,1850441
5110064,334112,1900768
5216964,339396,2008541
5322253,343385,2062802
5417579,346525,2117555
5504542,347703,2180605
5597064,351906,2235118
5699664,357119,2297613
5818978,361820,2363746
5940145,366562,2440127
6077978,370718,2509981
6185530,373606,2585589
6280725,376674,2639599
6401536,381497,2743083
6520924,387069,2821430
6647861,392218,2890776
6778724,396994,2959037
6914666,400875,3030214
7026925,403617,3084718
7129150,407314,3235640
7253492,412236,3317121
7387517,417441,3395154
7525631,422215,3480121
7654725,426512,3558933
7790735,430750,3644048
7924156,434124,3714006
8043794,437549,3793406
8185197,444416,3890800
8327050,449671,4008201
8466978,454700,4088826
8647784,460973,4183298
8805336,465222,4298603
8933875,469185,4366875
9071733,472756,4458093
9237071,478067,4561696
9408254,483328,4677005
9586141,489955,4769458
9777487,494782,4875774
9955597,499268,4981808
10117227,502357,5070592
10275799,506078,5164494
10449697,511210,5281459
10667386,516221,5397083
10875091,521341,5681477
11078585,526336,5790942
11272152,530705,5986375
11454847,534150,6105546
11622190,537947,6228768
11833034,544054,6373513
12044836,549373,6531016
12273063,554831,6665237
12505640,560142,6804254
12721968,565039,6929711
12914636,568993,7041174
13107415,572808,7181139
13328867,578468,7322897
13559984,583961,7482320
13812525,589760,7634241
14054563,596503,7793760
14292198,602130,7944550
14506845,606159,8032235
14713623,610319,8190777
14947078,616557,8364986
15227725,623540,8541255
15510481,633506,8710969
15791645,639650,8939705
16047190,644517,9158743
16251796,648621,9293464
16480485,654036,9468087
